Year,Country,Code,Earths,HDI,Population,BiocapPerCap,BiocapTotGHA,EFConsPerCap,EFConsTotGHA,DeRe,Percentage,Region,Income,id
1990,United Arab Emirates,AE,6.237739249413169,0.7269999980926514,1860174.0,2.6023910287618315,4840889.834334771,12.902908156280752,24001603.23209117,-10.30051712751892,-3.9580973857029136,Middle East/Central Asia,HI,ARE
1991,United Arab Emirates,AE,6.859623777045478,0.7379999756813049,1970026.0,2.4722702699599144,4870446.672358919,13.852905259953134,27290639.35511222,-11.380634989993222,-4.603313451719721,Middle East/Central Asia,HI,ARE
1992,United Arab Emirates,AE,6.348376079810913,0.7419999837875366,2086639.0,2.3824168100283143,4971245.956553802,12.829025286496716,26769555.94569741,-10.4466084764684,-4.3848785957585,Middle East/Central Asia,HI,ARE
1993,United Arab Emirates,AE,6.331412617425963,0.7480000257492065,2207405.0,2.25567657485174,4979202.82984065,12.545191664950307,27692380.43052323,-10.28951509009857,-4.561609232819593,Middle East/Central Asia,HI,ARE
1994,United Arab Emirates,AE,6.670188686099385,0.7559999823570251,2328686.0,2.1437097849522626,4992035.413512482,13.122527893330018,30558298.71102057,-10.978818108377759,-5.121410643102625,Middle East/Central Asia,HI,ARE
1995,United Arab Emirates,AE,6.935492439869138,0.7639999985694885,2448820.0,2.0424385018741944,5001564.391779399,13.388631112769804,32786348.55681135,-11.34619261089561,-5.555218725305095,Middle East/Central Asia,HI,ARE
1996,United Arab Emirates,AE,6.866833104542347,0.7710000276565552,2571020.0,1.954506157935065,5025074.460348168,13.288274208917615,34164419.01614804,-11.333768050982547,-5.798788612135493,Middle East/Central Asia,HI,ARE
1997,United Arab Emirates,AE,7.006509198872867,0.777999997138977,2700010.0,1.8833300793019083,5085010.0658078315,13.426563001019506,36251854.49950152,-11.543232921717598,-6.12916081391124,Middle East/Central Asia,HI,ARE
1998,United Arab Emirates,AE,6.980942866715928,0.7850000262260437,2838145.0,1.7961473113184625,5097735.316213478,13.290135770453364,37719397.53904755,-11.4939884591349,-6.399245978715262,Middle East/Central Asia,HI,ARE
1999,United Arab Emirates,AE,7.019219905461908,0.7910000085830688,2988162.0,1.7790604288855256,5316117.054815847,13.233877669483284,39544942.73370951,-11.45481724059776,-6.438689239900364,Middle East/Central Asia,HI,ARE
2000,United Arab Emirates,AE,6.644224891967612,0.7979999780654907,3154925.0,1.7513411599654198,5525358.646089111,12.35330102784866,38973799.16732658,-10.60195986788324,-6.053623423144224,Middle East/Central Asia,HI,ARE
2001,United Arab Emirates,AE,7.370626803213363,0.8029999732971191,3326032.0,1.5882287476826658,5282496.508185104,13.604675389882395,45249558.88558497,-12.016446642199734,-7.565942034314988,Middle East/Central Asia,HI,ARE
2002,United Arab Emirates,AE,7.1586968530762185,0.8080000281333923,3507232.0,1.504315805132099,5275981.4918522965,13.02738617970664,45690039.37661137,-11.523070374574539,-7.660007516548468,Middle East/Central Asia,HI,ARE
2003,United Arab Emirates,AE,7.2006942749642455,0.8130000233650208,3741932.0,1.3969185754485447,5227171.429535703,12.914047814866304,48323462.05708641,-11.517129239417761,-8.244667543145567,Middle East/Central Asia,HI,ARE
2004,United Arab Emirates,AE,6.958928108133838,0.8180000185966492,4087931.0,1.2876829622334252,5263957.723777687,12.596523238807215,51493704.38252694,-11.30884027657379,-8.782317238211448,Middle East/Central Asia,HI,ARE
2005,United Arab Emirates,AE,6.582642387758603,0.8249999880790709,4579562.0,1.142697836921781,5233053.373008444,11.679050326279109,53484912.39653415,-10.536352489357329,-9.22059371158025,Middle East/Central Asia,HI,ARE
2006,United Arab Emirates,AE,6.873557556341199,0.8299999833106995,5242032.0,0.9948890698054548,5215238.136846577,12.074622209966405,63295529.26915281,-11.079733140160947,-11.136651790060911,Middle East/Central Asia,HI,ARE
2007,United Arab Emirates,AE,6.840517825807465,0.8349999785423279,6044067.0,0.8615397893874909,5207206.643400717,11.91162547888118,71994696.11430082,-11.05008568949369,-12.825972550089315,Middle East/Central Asia,HI,ARE
2008,United Arab Emirates,AE,7.216971937322838,0.8379999995231628,6894278.0,0.7596423796416464,5237187.101911396,12.608744309597125,86928211.00985937,-11.849101929955475,-15.598263403294025,Middle East/Central Asia,HI,ARE
2009,United Arab Emirates,AE,6.438248913135072,0.8349999785423279,7666393.0,0.6844629143402711,5247359.73544802,11.065277182703225,84830731.85353471,-10.380814268362954,-15.166364825431987,Middle East/Central Asia,HI,ARE
2010,United Arab Emirates,AE,5.80708589807772,0.8360000252723694,8270684.0,0.6375729119512901,5273161.33217577,9.876680289623733,81686859.05132283,-9.239107377672443,-14.491060088164947,Middle East/Central Asia,HI,ARE
2011,United Arab Emirates,AE,5.5758731273120805,0.8410000205039978,8672475.0,0.5722948529969583,4963209.787283661,9.435642153062565,81830320.92311212,-8.863347300065605,-15.487379020885086,Middle East/Central Asia,HI,ARE
2012,United Arab Emirates,AE,5.507561021543041,0.8460000157356262,8900453.0,0.5559652295225382,4948340.835690836,9.178072749829717,81688979.39881425,-8.622107520307177,-15.508357469965926,Middle East/Central Asia,HI,ARE
2013,United Arab Emirates,AE,5.696829049286747,0.8510000109672546,9006263.0,0.5517619333101681,4969311.300174829,9.53847449617349,85905979.0803275,-8.986712562863323,-16.28730077290693,Middle East/Central Asia,HI,ARE
2014,United Arab Emirates,AE,6.142625258524915,0.8550000190734863,9070867.0,0.5579835840617307,5061396.618546735,10.23365272871162,92828134.72654462,-9.675669144649893,-17.340419003401102,Middle East/Central Asia,HI,ARE
2015,United Arab Emirates,AE,5.8968218353285025,0.8600000143051147,9154302.0,0.5640791859581321,5163749.98184482,9.70290539629389,88823304.97419441,-9.138826210335758,-16.201317896197068,Middle East/Central Asia,HI,ARE
