Year,Country,Parameter,Total
1961,Africa,BiocapPerCap,4.0280432382414135
1961,Africa,EFConsPerCap,1.3391925363023425
1962,Africa,BiocapPerCap,3.963960676745036
1962,Africa,EFConsPerCap,1.3597480483581057
1963,Africa,BiocapPerCap,3.879946991849191
1963,Africa,EFConsPerCap,1.3852084726287657
1964,Africa,BiocapPerCap,3.744191032760785
1964,Africa,EFConsPerCap,1.3798659356971834
1965,Africa,BiocapPerCap,3.6528845917614547
1965,Africa,EFConsPerCap,1.3997066465581665
1966,Africa,BiocapPerCap,3.570764299753741
1966,Africa,EFConsPerCap,1.4018890857127988
1967,Africa,BiocapPerCap,3.5208426588600266
1967,Africa,EFConsPerCap,1.430194495099172
1968,Africa,BiocapPerCap,3.4309631866128636
1968,Africa,EFConsPerCap,1.4112046291172529
1969,Africa,BiocapPerCap,3.3510998796442344
1969,Africa,EFConsPerCap,1.4222406731926376
1970,Africa,BiocapPerCap,3.2849366782066967
1970,Africa,EFConsPerCap,1.4492043116117868
1971,Africa,BiocapPerCap,3.2130785873504712
1971,Africa,EFConsPerCap,1.4824767760997857
1972,Africa,BiocapPerCap,3.1226141799532505
1972,Africa,EFConsPerCap,1.4297960865116597
1973,Africa,BiocapPerCap,3.019045715607783
1973,Africa,EFConsPerCap,1.4192526072624772
1974,Africa,BiocapPerCap,2.9767018011422373
1974,Africa,EFConsPerCap,1.47163324055336
1975,Africa,BiocapPerCap,2.8825443357651017
1975,Africa,EFConsPerCap,1.4738167884556699
1976,Africa,BiocapPerCap,2.8109023358282674
1976,Africa,EFConsPerCap,1.4638932989822475
1977,Africa,BiocapPerCap,2.7152269266988265
1977,Africa,EFConsPerCap,1.464360623376942
1978,Africa,BiocapPerCap,2.6552442236671268
1978,Africa,EFConsPerCap,1.4736425003332705
1979,Africa,BiocapPerCap,2.575301886961995
1979,Africa,EFConsPerCap,1.4610853454752977
1980,Africa,BiocapPerCap,2.5089712163465623
1980,Africa,EFConsPerCap,1.484457719925623
1981,Africa,BiocapPerCap,2.4492270476925784
1981,Africa,EFConsPerCap,1.5042380716443744
1982,Africa,BiocapPerCap,2.3608638988550408
1982,Africa,EFConsPerCap,1.4784186173981175
1983,Africa,BiocapPerCap,2.283517458334058
1983,Africa,EFConsPerCap,1.4543889990103434
1984,Africa,BiocapPerCap,2.2158740050859778
1984,Africa,EFConsPerCap,1.4285714600750723
1985,Africa,BiocapPerCap,2.191729678313251
1985,Africa,EFConsPerCap,1.4463083327036363
1986,Africa,BiocapPerCap,2.149387347645902
1986,Africa,EFConsPerCap,1.4210744260387222
1987,Africa,BiocapPerCap,2.089070797079945
1987,Africa,EFConsPerCap,1.408435454056046
1988,Africa,BiocapPerCap,2.0555372567851333
1988,Africa,EFConsPerCap,1.418204618041305
1989,Africa,BiocapPerCap,2.0147678319280997
1989,Africa,EFConsPerCap,1.4107796095592149
1990,Africa,BiocapPerCap,1.9682244112181484
1990,Africa,EFConsPerCap,1.3915750972952092
1991,Africa,BiocapPerCap,1.944878206136544
1991,Africa,EFConsPerCap,1.3936770902758997
1992,Africa,BiocapPerCap,1.8964156125906124
1992,Africa,EFConsPerCap,1.4034036273434205
1993,Africa,BiocapPerCap,1.840290352800097
1993,Africa,EFConsPerCap,1.369034624958933
1994,Africa,BiocapPerCap,1.8070086354570511
1994,Africa,EFConsPerCap,1.3645703504983748
1995,Africa,BiocapPerCap,1.7533963984439909
1995,Africa,EFConsPerCap,1.3654760665901748
1996,Africa,BiocapPerCap,1.7676129390332052
1996,Africa,EFConsPerCap,1.3911227400727335
1997,Africa,BiocapPerCap,1.6971306121373388
1997,Africa,EFConsPerCap,1.3766999894774563
1998,Africa,BiocapPerCap,1.6909112898570369
1998,Africa,EFConsPerCap,1.4059079074200629
1999,Africa,BiocapPerCap,1.655505752119299
1999,Africa,EFConsPerCap,1.3823637419695094
2000,Africa,BiocapPerCap,1.6077211449570803
2000,Africa,EFConsPerCap,1.3587492063008528
2001,Africa,BiocapPerCap,1.5872274741647878
2001,Africa,EFConsPerCap,1.3840850797093789
2002,Africa,BiocapPerCap,1.5563832511625062
2002,Africa,EFConsPerCap,1.380157667943396
2003,Africa,BiocapPerCap,1.5335682988774677
2003,Africa,EFConsPerCap,1.4077055604371682
2004,Africa,BiocapPerCap,1.5039474572730982
2004,Africa,EFConsPerCap,1.429926744175532
2005,Africa,BiocapPerCap,1.4730664640177533
2005,Africa,EFConsPerCap,1.4448185598657086
2006,Africa,BiocapPerCap,1.4548869870602748
2006,Africa,EFConsPerCap,1.4712266395581381
2007,Africa,BiocapPerCap,1.4042479138740949
2007,Africa,EFConsPerCap,1.4500691459771935
2008,Africa,BiocapPerCap,1.3878519609095623
2008,Africa,EFConsPerCap,1.4637609481510283
2009,Africa,BiocapPerCap,1.341080458204548
2009,Africa,EFConsPerCap,1.4371306881973045
2010,Africa,BiocapPerCap,1.32424400665969
2010,Africa,EFConsPerCap,1.4619079120634475
2011,Africa,BiocapPerCap,1.2753149206915553
2011,Africa,EFConsPerCap,1.4193068349498938
2012,Africa,BiocapPerCap,1.2656640049101968
2012,Africa,EFConsPerCap,1.4369881928374224
2013,Africa,BiocapPerCap,1.2540816614237544
2013,Africa,EFConsPerCap,1.4433354747023082
2014,Africa,BiocapPerCap,1.2366854655137431
2014,Africa,EFConsPerCap,1.4582550222788349
2015,Africa,BiocapPerCap,1.2106991231120698
2015,Africa,EFConsPerCap,1.4053252844441024
2016,Africa,BiocapPerCap,1.172063871245998
2016,Africa,EFConsPerCap,1.3585819383142197
1961,Asia,BiocapPerCap,1.1206427232026934
1961,Asia,EFConsPerCap,1.0661899343690977
1962,Asia,BiocapPerCap,1.1147671028737611
1962,Asia,EFConsPerCap,1.051357168922292
1963,Asia,BiocapPerCap,1.0906966090574048
1963,Asia,EFConsPerCap,1.0619377873284377
1964,Asia,BiocapPerCap,1.081841731149825
1964,Asia,EFConsPerCap,1.0789887739404165
1965,Asia,BiocapPerCap,1.0646478812892894
1965,Asia,EFConsPerCap,1.0990418894110057
1966,Asia,BiocapPerCap,1.0579139068328225
1966,Asia,EFConsPerCap,1.1410095195284145
1967,Asia,BiocapPerCap,1.0438881987981683
1967,Asia,EFConsPerCap,1.1480612450409
1968,Asia,BiocapPerCap,1.024572867325398
1968,Asia,EFConsPerCap,1.1643957849352646
1969,Asia,BiocapPerCap,1.007416363139405
1969,Asia,EFConsPerCap,1.1919646734716522
1970,Asia,BiocapPerCap,1.0082462232991578
1970,Asia,EFConsPerCap,1.2638884503222472
1971,Asia,BiocapPerCap,0.9784951901708948
1971,Asia,EFConsPerCap,1.2430382449142254
1972,Asia,BiocapPerCap,0.9499364106638086
1972,Asia,EFConsPerCap,1.2519959412924029
1973,Asia,BiocapPerCap,0.9449364965304388
1973,Asia,EFConsPerCap,1.3068210094836792
1974,Asia,BiocapPerCap,0.922444059353428
1974,Asia,EFConsPerCap,1.275618118525279
1975,Asia,BiocapPerCap,0.9179477176262288
1975,Asia,EFConsPerCap,1.288177064987199
1976,Asia,BiocapPerCap,0.9129462499745936
1976,Asia,EFConsPerCap,1.3171493018820668
1977,Asia,BiocapPerCap,0.8913872608059158
1977,Asia,EFConsPerCap,1.3215922253318817
1978,Asia,BiocapPerCap,0.9060814964015068
1978,Asia,EFConsPerCap,1.3662351248588442
1979,Asia,BiocapPerCap,0.8930805834537218
1979,Asia,EFConsPerCap,1.3929473328199655
1980,Asia,BiocapPerCap,0.8663188913343175
1980,Asia,EFConsPerCap,1.35225798575969
1981,Asia,BiocapPerCap,0.8676598855450424
1981,Asia,EFConsPerCap,1.3353926648716912
1982,Asia,BiocapPerCap,0.8696936805271441
1982,Asia,EFConsPerCap,1.3573451083995631
1983,Asia,BiocapPerCap,0.8727610171816166
1983,Asia,EFConsPerCap,1.3791323586415245
1984,Asia,BiocapPerCap,0.8728523316747039
1984,Asia,EFConsPerCap,1.4104914023747064
1985,Asia,BiocapPerCap,0.8526172050649986
1985,Asia,EFConsPerCap,1.3845529143610955
1986,Asia,BiocapPerCap,0.8465285664158451
1986,Asia,EFConsPerCap,1.4010228351407945
1987,Asia,BiocapPerCap,0.8354091731538945
1987,Asia,EFConsPerCap,1.4353880279401623
1988,Asia,BiocapPerCap,0.8228634694085274
1988,Asia,EFConsPerCap,1.4583296535561583
1989,Asia,BiocapPerCap,0.8205370385417187
1989,Asia,EFConsPerCap,1.4838247034755414
1990,Asia,BiocapPerCap,0.8323039662246551
1990,Asia,EFConsPerCap,1.502517021877551
1991,Asia,BiocapPerCap,0.8133082852989741
1991,Asia,EFConsPerCap,1.511996536876767
1992,Asia,BiocapPerCap,0.8197916728893369
1992,Asia,EFConsPerCap,1.5455823772741666
1993,Asia,BiocapPerCap,0.8126276892750416
1993,Asia,EFConsPerCap,1.5671215588418574
1994,Asia,BiocapPerCap,0.8062246012530077
1994,Asia,EFConsPerCap,1.5939086983969386
1995,Asia,BiocapPerCap,0.8004202370696056
1995,Asia,EFConsPerCap,1.6467110823330469
1996,Asia,BiocapPerCap,0.8087900056053217
1996,Asia,EFConsPerCap,1.6601161923460246
1997,Asia,BiocapPerCap,0.8005003168136021
1997,Asia,EFConsPerCap,1.6590819178011602
1998,Asia,BiocapPerCap,0.8066831697743048
1998,Asia,EFConsPerCap,1.6243308345216168
1999,Asia,BiocapPerCap,0.8063546058036997
1999,Asia,EFConsPerCap,1.6309676532566453
2000,Asia,BiocapPerCap,0.7919667607959322
2000,Asia,EFConsPerCap,1.657543859264077
2001,Asia,BiocapPerCap,0.7876656828095949
2001,Asia,EFConsPerCap,1.6660088101889658
2002,Asia,BiocapPerCap,0.7821752284753363
2002,Asia,EFConsPerCap,1.7024434379805615
2003,Asia,BiocapPerCap,0.7749893218379112
2003,Asia,EFConsPerCap,1.7698631358661132
2004,Asia,BiocapPerCap,0.7851310533316144
2004,Asia,EFConsPerCap,1.8724025729771971
2005,Asia,BiocapPerCap,0.7778544149296553
2005,Asia,EFConsPerCap,1.9381373158492805
2006,Asia,BiocapPerCap,0.7809264875081541
2006,Asia,EFConsPerCap,2.006357931396823
2007,Asia,BiocapPerCap,0.7861551834037025
2007,Asia,EFConsPerCap,2.083067755387686
2008,Asia,BiocapPerCap,0.7801429333897119
2008,Asia,EFConsPerCap,2.116478730228931
2009,Asia,BiocapPerCap,0.7802665872516104
2009,Asia,EFConsPerCap,2.1849710099290482
2010,Asia,BiocapPerCap,0.7855899755290464
2010,Asia,EFConsPerCap,2.2705813809506785
2011,Asia,BiocapPerCap,0.7889799561845986
2011,Asia,EFConsPerCap,2.346683365856835
2012,Asia,BiocapPerCap,0.7819327337881337
2012,Asia,EFConsPerCap,2.373354789270933
2013,Asia,BiocapPerCap,0.7866561587652031
2013,Asia,EFConsPerCap,2.402450152225994
2014,Asia,BiocapPerCap,0.7818145542591312
2014,Asia,EFConsPerCap,2.4134758896033786
2015,Asia,BiocapPerCap,0.7728140446190046
2015,Asia,EFConsPerCap,2.393069837321373
2016,Asia,BiocapPerCap,0.7697621854950296
2016,Asia,EFConsPerCap,2.387043756693904
1961,Caribbean,BiocapPerCap,1.061084235930856
1961,Caribbean,EFConsPerCap,1.0683208360122458
1962,Caribbean,BiocapPerCap,1.0258476102774725
1962,Caribbean,EFConsPerCap,1.1361830312721013
1963,Caribbean,BiocapPerCap,0.9971947143338388
1963,Caribbean,EFConsPerCap,1.1428373909440168
1964,Caribbean,BiocapPerCap,0.9868356686511456
1964,Caribbean,EFConsPerCap,1.35812465789728
1965,Caribbean,BiocapPerCap,0.97339912891212
1965,Caribbean,EFConsPerCap,1.341124822061304
1966,Caribbean,BiocapPerCap,0.9619180356973998
1966,Caribbean,EFConsPerCap,1.2559279064303397
1967,Caribbean,BiocapPerCap,0.9585831279445918
1967,Caribbean,EFConsPerCap,1.3308858572588291
1968,Caribbean,BiocapPerCap,0.928127011893626
1968,Caribbean,EFConsPerCap,1.3469764024246125
1969,Caribbean,BiocapPerCap,0.9109579292558152
1969,Caribbean,EFConsPerCap,1.4590582842627362
1970,Caribbean,BiocapPerCap,0.968773408989332
1970,Caribbean,EFConsPerCap,1.7054198418163713
1971,Caribbean,BiocapPerCap,0.9235603897812356
1971,Caribbean,EFConsPerCap,1.7671157564802802
1972,Caribbean,BiocapPerCap,0.9023557514494784
1972,Caribbean,EFConsPerCap,1.7697269450752715
1973,Caribbean,BiocapPerCap,0.8918275204366238
1973,Caribbean,EFConsPerCap,1.891771339889992
1974,Caribbean,BiocapPerCap,0.8726622521302038
1974,Caribbean,EFConsPerCap,1.854671671764872
1975,Caribbean,BiocapPerCap,0.8475680241943079
1975,Caribbean,EFConsPerCap,1.7281296811693745
1976,Caribbean,BiocapPerCap,0.8603223644583667
1976,Caribbean,EFConsPerCap,1.9697362573476305
1977,Caribbean,BiocapPerCap,0.8428127945531042
1977,Caribbean,EFConsPerCap,1.8578880596008418
1978,Caribbean,BiocapPerCap,0.8649234955441565
1978,Caribbean,EFConsPerCap,1.8726936391042293
1979,Caribbean,BiocapPerCap,0.8616806230435169
1979,Caribbean,EFConsPerCap,1.880567325078318
1980,Caribbean,BiocapPerCap,0.8261321772456764
1980,Caribbean,EFConsPerCap,1.9488263492305973
1981,Caribbean,BiocapPerCap,0.8161191538292452
1981,Caribbean,EFConsPerCap,1.778871701454055
1982,Caribbean,BiocapPerCap,0.8362775964490555
1982,Caribbean,EFConsPerCap,1.7006707308562117
1983,Caribbean,BiocapPerCap,0.8243542143174214
1983,Caribbean,EFConsPerCap,1.6400409626504133
1984,Caribbean,BiocapPerCap,0.8412870592685581
1984,Caribbean,EFConsPerCap,1.7935486807348378
1985,Caribbean,BiocapPerCap,0.807912624959574
1985,Caribbean,EFConsPerCap,1.70357163281845
1986,Caribbean,BiocapPerCap,0.8037096097016354
1986,Caribbean,EFConsPerCap,1.5898380724102998
1987,Caribbean,BiocapPerCap,0.7939378143590516
1987,Caribbean,EFConsPerCap,1.6528977196203483
1988,Caribbean,BiocapPerCap,0.7733234033549985
1988,Caribbean,EFConsPerCap,1.6436710503483714
1989,Caribbean,BiocapPerCap,0.7706651288761206
1989,Caribbean,EFConsPerCap,1.6847674009299167
1990,Caribbean,BiocapPerCap,0.7507806608397833
1990,Caribbean,EFConsPerCap,1.5951361699374893
1991,Caribbean,BiocapPerCap,0.7285208301320859
1991,Caribbean,EFConsPerCap,1.4724419950803198
1992,Caribbean,BiocapPerCap,0.7161881724891281
1992,Caribbean,EFConsPerCap,1.3652702503506728
1993,Caribbean,BiocapPerCap,0.6710817854756644
1993,Caribbean,EFConsPerCap,1.3167147351655062
1994,Caribbean,BiocapPerCap,0.6554044386864086
1994,Caribbean,EFConsPerCap,1.3245772440709025
1995,Caribbean,BiocapPerCap,0.6388974317320986
1995,Caribbean,EFConsPerCap,1.3544938440021608
1996,Caribbean,BiocapPerCap,0.6598244397973179
1996,Caribbean,EFConsPerCap,1.4003154133309093
1997,Caribbean,BiocapPerCap,0.6524424573754144
1997,Caribbean,EFConsPerCap,1.4400819920203047
1998,Caribbean,BiocapPerCap,0.6398809547752228
1998,Caribbean,EFConsPerCap,1.4551249148499206
1999,Caribbean,BiocapPerCap,0.6441732415657063
1999,Caribbean,EFConsPerCap,1.4751953169151892
2000,Caribbean,BiocapPerCap,0.656743993239683
2000,Caribbean,EFConsPerCap,1.4994745231555702
2001,Caribbean,BiocapPerCap,0.6557934457927443
2001,Caribbean,EFConsPerCap,1.5116962090126296
2002,Caribbean,BiocapPerCap,0.6622146483146949
2002,Caribbean,EFConsPerCap,1.549587584728192
2003,Caribbean,BiocapPerCap,0.6515359393841023
2003,Caribbean,EFConsPerCap,1.5561264821495269
2004,Caribbean,BiocapPerCap,0.6569908365945957
2004,Caribbean,EFConsPerCap,1.5399731747074101
2005,Caribbean,BiocapPerCap,0.6150358733489457
2005,Caribbean,EFConsPerCap,1.6192057412785528
2006,Caribbean,BiocapPerCap,0.6053013850279874
2006,Caribbean,EFConsPerCap,1.66588046098831
2007,Caribbean,BiocapPerCap,0.6185449384163099
2007,Caribbean,EFConsPerCap,1.7449643228813982
2008,Caribbean,BiocapPerCap,0.6058403391744391
2008,Caribbean,EFConsPerCap,1.6950749135439434
2009,Caribbean,BiocapPerCap,0.6232299779293503
2009,Caribbean,EFConsPerCap,1.6861310533159404
2010,Caribbean,BiocapPerCap,0.6165098900797815
2010,Caribbean,EFConsPerCap,1.774654772722939
2011,Caribbean,BiocapPerCap,0.6319548464773765
2011,Caribbean,EFConsPerCap,1.7460085730388282
2012,Caribbean,BiocapPerCap,0.629997216759424
